733343	66360.9	120768	507118	526132
891439	863484	680721	605194	551857
839612	622617	134218	690631	623058
435172	278651	884186	922653	615334
325085	422410	679841	727485	65413.5
90524.2	581468	101963	757856	695677
364485	294745	489735	360190	202310
546172	262503	311842	140770	640793
670012	180611	891076	630108	868674
437304	703180	569733	622818	395.858
660979	922954	378747	153981	281010
40741.7	201443	289139	195470	109636
483497	403626	176058	4220.02	120860
777834	783043	358511	875244	698267
378016	295826	907256	574129	575511
430484	184094	123961	509450	471701
136707	461407	33546.6	54488.1	251545
491462	66670.3	885089	312566	159908
73194	290965	713316	35143.4	122138
151693	224957	141132	360344	854921
441083	332904	384140	112059	817518
775257	236202	90715.4	320435	321370
528132	369862	689773	799584	668038
471040	775822	40977.1	18551.1	443794
359575	235724	613572	786799	787661
620119	921745	573504	308828	275348
614022	866204	843776	745670	476244
138264	27070.5	712897	289468	888759
356676	479340	469258	258987	82450.9
888280	191926	296753	135258	778204
347740	881749	467521	493742	584308
159328	827452	822116	334077	511891
634701	655019	272875	832231	519164
360465	84734.5	622677	91735.4	917537
612673	341191	328637	805057	734278
724056	685114	717510	166576	884042
1753.75	922544	64587	877626	875475
164377	851221	268616	11115.1	68517
192909	602246	913277	388509	502428
727034	492310	625304	924748	174633
647054	674296	494300	113021	272192
656211	866410	190457	538272	606087
350815	64523.3	533819	497674	192564
724909	238201	6467.82	818984	273674
410196	182092	748851	368465	225441
806071	885307	181395	96002.9	927494
520339	731176	894690	334645	831008
489064	874154	816531	572975	105211
707572	308656	239818	836617	571460
138513	291995	616339	806393	619849
820978	247680	270331	262878	569430
191125	421958	705700	238645	218530
114322	216960	174381	711699	150200
919243	82992.7	824810	68892.7	767209
662355	184544	215134	600585	741366
352792	57123.3	681034	102834	717869
462606	120486	906172	239263	634232
598353	710058	828133	58394.5	456076
266609	683559	815688	507046	863061
683712	424722	771250	532497	597051
664023	36175.8	559123	639922	386858
786702	544096	175201	25891.1	828337
192074	530211	267175	637728	298118
11761.8	549363	525996	253828	185932
848533	138967	873998	553758	743245
186947	244655	337496	529286	883212
186622	137017	341273	533584	344678
